;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
620;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
621;LB;Female;25+;Ever Marr;Rural;Higher;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
622;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
623;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
624;LB;Female;25+;Never Mar;Urban;Secondary;manual t;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
626;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
627;LB;Male;20 - 24;Ever Marr;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
628;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
629;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;No;yes;Non;Non;formal
630;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
631;EG;Female;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
632;EG;Female;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;formal
633;EG;Male;25+;Ever Marr;Urban;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Oui;Non;formal
634;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Non;formal
635;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
636;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
638;LB;Male;25+;Never Mar;Rural;Secondary;manual t;No;Secondary;No;Non;Not at al;No;Non;No;No;Non;Non;formal
639;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
640;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
641;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;formal
642;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
643;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;yes;No;Non;Non;formal
645;LB;Female;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;No;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
646;DZ;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;No educati;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
647;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;No;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
648;LB;Male;25+;Ever Marr;Urban;Primary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
649;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
650;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Secondary;No;Oui;Completel;Yes;Non;yes;yes;Non;Non;formal
651;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
652;EG;Female;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
653;EG;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
654;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
655;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
656;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
657;DZ;Male;<= 19;Never Mar;Urban;Middle;non manua;No;Primary;Yes;Non;Completel;No;Non;No;No;Non;Non;formal
658;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
659;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
662;DZ;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
663;DZ;Female;25+;Never Mar;Urban;Middle;non manua;Yes;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
665;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
667;DZ;Male;25+;Never Mar;Rural;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
668;EG;Female;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
669;TN;Male;25+;Never Mar;Rural;Secondary;non manua;No;Higher;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
670;TN;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
671;DZ;Male;25+;Never Mar;Rural;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;formal
673;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
674;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Non;Oui;formal
675;TN;Male;25+;Never Mar;Rural;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Non;Oui;formal
676;EG;Female;20 - 24;Ever Marr;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
677;TN;Female;20 - 24;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
678;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;No;Non;Not at al;No;Non;yes;No;Non;Non;formal
679;EG;Female;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
680;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
681;EG;Male;25+;Never Mar;Rural;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;formal
682;DZ;Male;25+;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Non;Completel;No;Non;No;No;Non;Non;formal
684;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Non;Oui;formal
686;LB;Female;20 - 24;Ever Marr;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
687;DZ;Male;25+;Ever Marr;Urban;Secondary;non manua;Yes;Primary;Yes;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
688;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
689;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Oui;formal
690;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Completel;Yes;Non;No;yes;Oui;Oui;formal
691;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
692;DZ;Female;20 - 24;Never Mar;Urban;Higher;manual t;No;Middle;Yes;Non;Completel;Yes;Non;yes;No;Non;Non;formal
694;TN;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
695;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Oui;Oui;formal
696;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
697;TN;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
701;EG;Female;25+;Ever Marr;Urban;Higher;manual t;No;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
703;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;yes;Non;Oui;formal
705;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
706;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
707;TN;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;No educati;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
708;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;No;Non;Non;formal
709;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
710;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;No;No;Non;Oui;formal
711;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;No;Oui;Non;formal
712;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Completel;Yes;Non;yes;yes;Non;Non;formal
713;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
714;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Secondary;No;Non;Not at al;Yes;Non;No;No;Oui;Non;formal
715;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
716;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
717;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Oui;formal
718;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;No;Oui;Oui;formal
719;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
720;EG;Male;25+;Ever Marr;Rural;No educati;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
721;LB;Male;25+;Never Mar;Rural;Middle;manual t;Yes;Secondary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
722;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
723;DZ;Female;25+;Never Mar;Urban;Secondary;non manua;No;Higher;Yes;Oui;Completel;No;Non;No;yes;Oui;Oui;formal
725;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Oui;Oui;formal
726;TN;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
727;LB;Male;25+;Never Mar;Rural;Higher;non manua;Yes;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
728;DZ;Male;25+;Never Mar;Urban;Middle;non manua;No;Middle;Yes;Oui;Completel;No;Non;No;No;Non;Non;formal
729;LB;Male;25+;Never Mar;Urban;Middle;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
730;EG;Male;25+;Ever Marr;Urban;Secondary;manual t;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
731;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
732;DZ;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
733;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Non;Completel;Yes;Non;No;yes;Oui;Oui;formal
734;DZ;Male;25+;Never Mar;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
735;TN;Male;25+;Never Mar;Rural;Primary;manual t;No;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
736;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;No;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
737;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
738;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
739;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
740;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
741;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
742;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
743;EG;Male;25+;Never Mar;Rural;Secondary;manual t;No;Secondary;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
744;DZ;Male;25+;Ever Marr;Rural;Higher;non manua;Yes;No educati;Yes;Oui;Completel;Yes;Non;yes;yes;Non;Non;formal
745;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
746;EG;Male;<= 19;Never Mar;Rural;Primary;manual t;No;No educati;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
747;TN;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Secondary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
748;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
749;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Oui;Non;formal
750;TN;Male;25+;Ever Marr;Urban;Middle;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
751;TN;Male;25+;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;No;Non;Non;formal
752;DZ;Male;25+;Never Mar;Rural;Middle;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
753;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Non;Not at al;No;Non;No;yes;Oui;Non;formal
754;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Completel;Yes;Non;yes;yes;Oui;Non;formal
755;LB;Female;<= 19;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
756;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;yes;Non;Non;formal
757;EG;Male;25+;Never Mar;Urban;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
758;TN;Male;25+;Ever Marr;Urban;Higher;manual t;No;Middle;Yes;Oui;Completel;Yes;Non;No;No;Oui;Oui;formal
759;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
760;TN;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
761;EG;Male;25+;Ever Marr;Rural;Higher;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Oui;formal
762;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
763;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
764;EG;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;formal
765;LB;Male;25+;Never Mar;Urban;Secondary;manual t;No;Middle;No;Oui;Not at al;Yes;Non;yes;No;Non;Non;formal
766;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
768;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
769;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
770;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;Middle;No;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
771;EG;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Secondary;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
772;DZ;Male;<= 19;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
773;EG;Male;<= 19;Never Mar;Rural;Secondary;non manua;No;Secondary;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
774;TN;Female;25+;Ever Marr;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;No;yes;Non;Non;formal
775;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Completel;Yes;Non;No;yes;Non;Non;formal
776;TN;Female;25+;Ever Marr;Urban;Secondary;non manua;No;No educati;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
777;LB;Male;<= 19;Never Mar;Urban;Primary;non manua;Yes;No educati;Yes;Non;Not at al;Yes;Non;yes;No;Oui;Non;formal
778;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;formal
780;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
781;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Oui;Oui;formal
782;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;Yes;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
784;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
785;DZ;Male;25+;Never Mar;Rural;Higher;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
786;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
788;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Higher;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
789;LB;Female;20 - 24;Ever Marr;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
790;TN;Female;20 - 24;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
791;LB;Male;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
792;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Secondary;No;Non;Not at al;No;Non;yes;yes;Non;Oui;formal
793;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
796;EG;Male;20 - 24;Ever Marr;Rural;Secondary;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
798;DZ;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Oui;Completel;Yes;Non;No;No;Oui;Oui;formal
799;EG;Male;25+;Ever Marr;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
800;DZ;Male;25+;Never Mar;Urban;Middle;non manua;No;Primary;Yes;Oui;Completel;No;Non;No;No;Non;Non;formal
802;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Non;formal
803;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
805;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
807;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Primary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
808;EG;Male;25+;Ever Marr;Rural;No educati;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;No;Non;Non;formal
809;EG;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Completel;No;Non;yes;yes;Oui;Oui;formal
811;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
813;LB;Male;25+;Never Mar;Rural;Higher;non manua;Yes;Primary;Yes;Oui;Not at al;Yes;Non;No;yes;Non;Non;formal
814;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
815;TN;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Completel;No;Non;No;yes;Oui;Oui;formal
816;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
818;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
819;DZ;Male;20 - 24;Never Mar;Urban;Middle;non manua;Yes;Primary;Yes;Non;Completel;Yes;Non;No;No;Non;Non;formal
820;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
822;DZ;Female;20 - 24;Never Mar;Urban;Middle;non manua;No;Middle;Yes;Non;Completel;Yes;Non;No;No;Non;Non;formal
823;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
824;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
825;LB;Male;25+;Never Mar;Urban;Middle;manual t;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
826;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
827;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
828;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
829;TN;Female;20 - 24;Never Mar;Rural;No educati;manual t;No;No educati;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
830;TN;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
831;TN;Female;20 - 24;Never Mar;Rural;Primary;non manua;No;Primary;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
832;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
833;DZ;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Middle;Yes;Oui;Not at al;Yes;Non;No;No;Oui;Oui;formal
834;LB;Male;20 - 24;Never Mar;Rural;Middle;non manua;Yes;Primary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
835;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
836;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
837;TN;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
838;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
839;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Oui;formal
840;DZ;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;Yes;Oui;Completel;No;Non;yes;yes;Oui;Non;formal
841;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
842;LB;Male;25+;Ever Marr;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
843;LB;Male;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
844;TN;Female;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
845;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;yes;yes;Oui;Non;formal
