;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
354;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
2451;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;Primary;Yes;Non;Completel;Yes;Non;No;No;Non;Non;informal
507;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
1034;DZ;Male;20 - 24;Never Mar;Urban;Higher;manual t;Yes;Higher;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;informal
676;EG;Female;20 - 24;Ever Marr;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
199;LB;Male;25+;Ever Marr;Rural;Middle;non manua;No;Primary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
1017;TN;Male;25+;Never Mar;Rural;Secondary;manual t;No;Primary;No;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;informal
1248;EG;Male;25+;Never Mar;Urban;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Non;informal
1471;EG;Male;25+;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
44;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1110;TN;Female;25+;Never Mar;Rural;Higher;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
139;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
2391;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1189;LB;Male;20 - 24;Never Mar;Rural;Middle;non manua;Yes;Primary;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;informal
1557;EG;Male;20 - 24;Ever Marr;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
444;DZ;Male;25+;Never Mar;Rural;Primary;non manua;Yes;No educati;Yes;Oui;Completel;No;Non;No;yes;Oui;Oui;formal
1427;TN;Male;25+;Never Mar;Rural;Secondary;manual t;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2040;LB;Male;<= 19;Never Mar;Urban;Higher;non manua;No;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
46;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
517;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2190;EG;Male;20 - 24;Never Mar;Rural;No educati;manual t;No;No educati;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
2811;LB;Male;25+;Never Mar;Urban;Primary;manual t;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
373;LB;Female;20 - 24;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
2056;EG;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;yes;Oui;Oui;informal
1968;DZ;Male;<= 19;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;No;No;Oui;Oui;informal
219;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
2790;DZ;Female;<= 19;Never Mar;Urban;Primary;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
2822;TN;Male;<= 19;Never Mar;Rural;Middle;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1496;EG;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
717;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Oui;formal
362;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;yes;Oui;Oui;formal
1514;LB;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;Middle;No;Non;Not at al;No;Non;yes;No;Oui;Oui;informal
2469;TN;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
297;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
1377;TN;Male;25+;Never Mar;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2505;LB;Female;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1452;DZ;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
649;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1772;LB;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1005;LB;Male;25+;Never Mar;Urban;Primary;manual t;No;Primary;No;Non;Not at al;No;Non;yes;No;Non;Non;informal
880;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
179;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
1721;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;No;No;Oui;Oui;informal
2629;LB;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Primary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
70;TN;Female;20 - 24;Ever Marr;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
957;TN;Male;25+;Ever Marr;Urban;Middle;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;No;yes;Non;Non;formal
2870;TN;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2866;TN;Male;25+;Never Mar;Rural;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
2245;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;Yes;Non;No;yes;Non;Non;informal
1284;DZ;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Primary;Yes;Oui;Completel;No;Non;yes;yes;Non;Non;informal
62;DZ;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;Middle;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
1783;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;No;Non;No;No;Non;Non;informal
565;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Non;Completel;Yes;Non;yes;yes;Oui;Oui;formal
850;LB;Male;25+;Never Mar;Rural;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
1573;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Non;Completel;No;Non;yes;yes;Oui;Oui;informal
1731;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1848;EG;Male;25+;Ever Marr;Urban;Primary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1195;TN;Male;20 - 24;Never Mar;Rural;Primary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Oui;Oui;informal
2411;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
870;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
2778;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;No;Oui;Not at al;Yes;Non;yes;yes;Non;Oui;informal
2657;TN;Female;25+;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1985;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1385;EG;Male;<= 19;Never Mar;Urban;Secondary;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1306;EG;Male;25+;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2415;EG;Male;20 - 24;Never Mar;Rural;Primary;non manua;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1632;EG;Male;20 - 24;Never Mar;Urban;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1357;EG;Male;20 - 24;Ever Marr;Rural;Secondary;manual t;No;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1097;LB;Male;25+;Never Mar;Rural;Secondary;non manua;No;No answer;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
2447;TN;Male;25+;Never Mar;Urban;Higher;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Non;informal
448;DZ;Male;25+;Never Mar;Urban;Primary;manual t;No;No educati;Yes;Non;Completel;Yes;Non;No;No;Non;Non;formal
654;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
1076;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;No;Non;Not at al;No;Non;yes;No;Non;Non;informal
792;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Secondary;No;Non;Not at al;No;Non;yes;yes;Non;Oui;formal
484;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
327;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
2152;TN;Female;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2022;LB;Female;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2735;TN;Female;25+;Never Mar;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
2;EG;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Oui;Non;formal
646;DZ;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;No educati;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
2079;EG;Male;<= 19;Never Mar;Urban;Primary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
383;DZ;Male;25+;Ever Marr;Urban;Secondary;manual t;No;Primary;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;formal
2324;EG;Male;25+;Ever Marr;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
1049;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;No;Oui;Not at al;Yes;Non;No;No;Non;Oui;informal
296;TN;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
424;EG;Male;20 - 24;Ever Marr;Urban;Primary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
303;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
782;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;Yes;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
2572;LB;Male;<= 19;Never Mar;Urban;Middle;non manua;Yes;Secondary;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
273;LB;Female;25+;Never Mar;Rural;Higher;manual t;Yes;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;formal
2401;LB;Male;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Middle;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
532;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2458;LB;Male;25+;Never Mar;Urban;Middle;manual t;No;No educati;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;informal
1674;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1458;LB;Female;<= 19;Never Mar;Urban;Higher;non manua;No;Middle;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
2764;LB;Male;25+;Never Mar;Urban;Middle;manual t;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1473;TN;Male;25+;Never Mar;Rural;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;No;yes;Non;Non;informal
279;LB;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Non;Oui;formal
466;LB;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
1967;DZ;Female;25+;Never Mar;Rural;Higher;manual t;Yes;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1913;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Completel;No;Non;yes;yes;Non;Non;informal
348;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1006;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;No educati;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2879;TN;Male;25+;Never Mar;Rural;Primary;non manua;No;No educati;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
17;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;Yes;Non;yes;yes;Non;Oui;formal
818;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
2600;LB;Male;<= 19;Never Mar;Urban;Primary;non manua;Yes;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1118;TN;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
2493;TN;Male;25+;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
2309;LB;Male;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Secondary;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
408;TN;Female;25+;Never Mar;Urban;Higher;non manua;No;Middle;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
1590;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
207;EG;Female;20 - 24;Ever Marr;Urban;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
1122;LB;Female;25+;Never Mar;Urban;Secondary;manual t;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1593;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2286;EG;Female;20 - 24;Ever Marr;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
2874;DZ;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;No educati;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
212;LB;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
697;TN;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1294;DZ;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Non;Completel;No;Non;No;No;Non;Non;informal
691;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2920;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
1133;TN;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;Higher;Yes;Non;Not at al;No;Non;No;yes;Non;Non;informal
2386;TN;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
418;DZ;Female;25+;Never Mar;Urban;Secondary;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;No;Non;Non;formal
1596;TN;Male;<= 19;Never Mar;Rural;Middle;non manua;No;Middle;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
667;DZ;Male;25+;Never Mar;Rural;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
824;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
2620;LB;Female;25+;Ever Marr;Rural;Higher;non manua;Yes;Higher;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
772;DZ;Male;<= 19;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
2484;TN;Male;<= 19;Never Mar;Rural;Secondary;manual t;No;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
155;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Completel;Yes;Non;yes;yes;Oui;Oui;formal
711;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;No;Oui;Non;formal
377;LB;Male;<= 19;Never Mar;Urban;Middle;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
2002;EG;Female;<= 19;Never Mar;Rural;Middle;non manua;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
2095;EG;Male;<= 19;Never Mar;Urban;Middle;manual t;No;No educati;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1279;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1371;TN;Male;20 - 24;Never Mar;Urban;Higher;manual t;No;No educati;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2073;EG;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
802;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Non;formal
1184;LB;Female;20 - 24;Never Mar;Rural;Middle;non manua;Yes;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
2483;LB;Female;20 - 24;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
2250;DZ;Male;25+;Never Mar;Rural;No educati;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;No;No;Oui;Oui;informal
2733;EG;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1282;DZ;Female;25+;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
520;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
1546;EG;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;No;Non;Non;informal
2949;DZ;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2325;EG;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1274;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;No;Oui;Not at al;No;Non;No;yes;Oui;Non;informal
1583;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
2340;DZ;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;No educati;Yes;Non;Completel;No;Non;No;No;Non;Non;informal
2221;LB;Female;25+;Never Mar;Rural;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;informal
2658;TN;Female;25+;Ever Marr;Rural;No educati;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Oui;Oui;informal
1447;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Middle;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
2675;LB;Female;20 - 24;Never Mar;Urban;Higher;manual t;Yes;Secondary;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
2485;EG;Male;25+;Never Mar;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
918;TN;Male;25+;Never Mar;Rural;Higher;non manua;No;No educati;No;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
1223;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
306;DZ;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
1971;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
976;LB;Male;25+;Ever Marr;Rural;Higher;non manua;Yes;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
115;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
2727;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
122;EG;Male;25+;Ever Marr;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2975;TN;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Primary;Yes;Oui;Completel;Yes;Non;No;No;Non;Non;informal
1695;LB;Female;20 - 24;Never Mar;Rural;Higher;non manua;Yes;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1750;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;No;Non;Non;informal
2626;DZ;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Non;Completel;No;Non;No;No;Non;Non;informal
2329;TN;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Primary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;informal
1989;EG;Male;25+;Ever Marr;Rural;Primary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1831;EG;Male;<= 19;Never Mar;Rural;Secondary;manual t;No;Higher;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
1718;TN;Female;20 - 24;Ever Marr;Urban;Secondary;non manua;Yes;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
805;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
82;TN;Male;25+;Never Mar;Rural;Middle;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
2096;LB;Male;25+;Never Mar;Urban;Secondary;manual t;No;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;informal
2857;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
537;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Non;formal
1928;TN;Male;25+;Never Mar;Urban;Middle;manual t;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1857;LB;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
2369;DZ;Male;20 - 24;Never Mar;Rural;Secondary;non manua;Yes;Middle;Yes;Non;Completel;Yes;Non;No;No;Non;Non;informal
1813;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;informal
458;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;No;Non;Non;formal
856;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
1551;EG;Male;20 - 24;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2817;LB;Male;25+;Never Mar;Urban;Primary;manual t;No;Primary;No;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
1479;DZ;Male;20 - 24;Never Mar;Urban;Primary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
2053;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
841;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
908;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;No;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
2745;DZ;Male;20 - 24;Never Mar;Rural;Primary;manual t;No;No educati;Yes;Oui;Completel;No;Non;No;No;Oui;Oui;informal
2884;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
2215;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Non;informal
1637;LB;Male;25+;Never Mar;Rural;Middle;manual t;No;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;informal
167;DZ;Female;25+;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
